t,TleafC,E,H2OS,stomatal_ratio,gbw,gc
11.99694444,24.66640778,0.006466419,17.33944231,1,4.5,0.0016
12.04472222,24.41302075,0.006466412,23.03095503,1,4.5,0.0016
12.14277778,24.68027121,0.006011172,16.31273981,1,4.5,0.0016
12.22013889,24.44904765,0.006092023,22.83592135,1,4.5,0.0016
14.00319444,24.60231875,0.006505367,17.40861437,1,4.5,0.0016
14.0725,24.338586,0.006496267,23.20500282,1,4.5,0.0016
14.30722222,24.60154877,0.006544118,17.59531114,1,4.5,0.0016
14.38138889,24.35203258,0.006599618,23.56857232,1,4.5,0.0016
14.64222222,24.608786,0.006641474,17.86647404,1,4.5,0.0016
14.72097222,24.34413856,0.006615441,23.7090716,1,4.5,0.0016
14.94152778,24.58334478,0.006994207,18.87626656,1,4.5,0.0016
15.01305556,24.32484155,0.006970155,24.29957015,1,4.5,0.0016
